category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol
Red,US,Fenestra 2012 Cabernet Sauvignon (Livermore Valley),Cabernet Sauvignon,28.0,750 ml,89,Fenestra,"Powerful oak flavors and a firm texture make this wine imposing at first sip. It smells like cedar and tobacco, tastes like tart cherries and cranberries and feels astringent on the palate. Within that tannic framework, it has enough fruit concentration to make it well balanced and complete.",14.3%
Red,US,Falkner 2013 Amante Super Tuscan Style Red (Temecula Valley),Red Blend,55.0,750 ml,89,Falkner,"There is appealing density and a unique range of aromas in this blend of 50% Sangiovese, 22% Cabernet Sauvignon, 14% Merlot and 14% Cabernet Franc, from teriyaki, smoke and charcoal to wet herbs and damp campfire. Roast beef, thyme and bay leaf flavors meld with and heavily charred black plum fruit. Dark and serious.",13.5%
White,US,Wente 2015 Morning Fog Chardonnay (Livermore Valley),Chardonnay,15.0,750 ml,89,Wente,"Lightly minty and peachy in aroma, this wine also delivers rich butter, vanilla and pear flavors and a smooth texture on the palate. A butterscotch note lingers on the finish.",13.5%
Red,US,Four Lanterns 2014 Third Blue Hour Cabernet Sauvignon (Templeton Gap District),Cabernet Sauvignon,62.0,750 ml,90,Four Lanterns,"Fresh pressed blackberry and boysenberry scents meet wet clay and gravel on the nose of this bottling from one of Paso Robles' cooler corners. Vibrant acidity shows on the palate, with light tannins that frame its plump berry and graphite flavors.",14.5%
Red,US,Cielo 2012 Malibu Estate Syrah (Saddle Rock-Malibu),Syrah,100.0,750 ml,89,Cielo,"Dried berry, leather, cola, and herb notes show on the nose of this bottling from the mountains between the Conejo Valley and Malibu Coast. The flavors are savory at firstall crushed anise and mintbut grow fruitier as it opens, suggesting dark strawberry, blueberry, vanilla and clove. Quite quaffable.",16.75%
White,US,Keuka Lake Vineyards 2015 Estate Grown and Bottled Evergreen Lek Vineyard Dry Riesling (Finger Lakes),Riesling,27.0,750 ml,89,Keuka Lake Vineyards,"Hints of green melon rinds, tart apple and pears persist from nose to finish in this delicate dry Riesling. Bristling lime acidity awakens the midpalate, leading to a long finish dusted with pollen.",11.1%
Red,US,Kirkland Signature 2014 Signature Series Red (Columbia Valley (WA)),Red Blend,17.0,750 ml,89,Kirkland Signature,"This blend of Cabernet Sauvignon, Merlot, Syrah and Sangiovese brings bright aromas of cranberries, red currants and cherries. The palate packs a punch of dark-fruit flavors, showing some heat on the finish.",14.8%
Red,US,Renwood 2013 Zinfandel (California),Zinfandel,15.0,750 ml,89,Renwood,"Ripe, full-bodied and delicious, this wine is big and bold, pushing the envelope with late harvest flavors, seeming sweet on the palate and the finish. It tastes like blackberry jam and dark chocolate. It would make a fine after-dinner drink, too.",15%
Red,US,Wellington 2013 Estate Vineyard Grenache (Sonoma County),Grenache,25.0,750 ml,89,Wellington,"Juicy and exuberantly floral, this wine is structured with a reasonable amount of tannin. Its strawberry and cherry fruit is robustly ripe, but high acidity saves the day.",15.5%
Red,US,Dunham 2013 Syrah (Columbia Valley (WA)),Syrah,35.0,750 ml,89,Dunham,"This wine's aromas display a mixture of fruit and barrel, with notes of vanilla, coconut shavings and plum. The flavors are the same, silky and elegant, with barrel flavors lingering on the finish. It's a very stylistic wine.",13.9%
White,US,Kelleher 2015 Block 21 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,30.0,750 ml,90,Kelleher,"This is a creamy, lushly textured white that's medium bodied and ample on the palate, with accents of well-integrated pear, vanilla and fennel flavors.",14.3%
White,US,Meiomi 2015 Chardonnay (Sonoma County-Monterey County-Santa Barbara County),Chardonnay,21.0,750 ml,88,Meiomi,"Constellation purchased this brand in 2015 for its superripe Pinot Noir, but this balanced Chardonnay may be the key to its future. Sea salt, marcona almond and yellow pear scents show on the nose, while the palate leads with strong acidity, settling on lemon peel, subtle smoke and dried herb flavors.",13.9%
Red,US,Kelleher 2012 Brix Vineyard Estate Grown Cabernet Sauvignon (Oakville),Cabernet Sauvignon,88.0,750 ml,90,Kelleher,"Soft and silky, this wine shows rich chocolate flavor and is light in oak and fleshy on the palate. Full-bodied and ripe, it finishes in a grip of dust.",15.2%
Red,US,Cairdeas 2014 Counoise (Yakima Valley),Counoise,36.0,750 ml,89,Cairdeas,"Varietal Counoise remains a rarity in the state, although more and more producers are experimenting with it. This one brings aromas of crushed violets and purple fruit that lead to simultaneously full yet sleek fruit flavors that paint a bit around the edges but still deliver plenty of enjoyment.",14.3%
Red,US,Hestan 2012 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,155.0,750 ml,90,Hestan,"This wine has a classic personality: round and soft in tannin, with a chalkiness lurking behind herbal tobacco leaf, tomato, cedar and rose notes. Full-bodied, it doesn't hold back on ripeness but displays more savory character than fruit.",14.8%
White,US,Chateau Ste. Michelle 2014 Mimi Chardonnay (Horse Heaven Hills),Chardonnay,20.0,750 ml,89,Chateau Ste. Michelle,"Named after famed Horse Heaven Hills grower Mimi Nye, this wine brings aromas of toast, custard and pineapple. Fruit and barrel flavors weave together on the palate, carrying through the finish.",14%
Red,US,Giornata 2014 Sangiovese (Paso Robles),Sangiovese,30.0,750 ml,90,Giornata,"Well-rounded and integrated strawberry, black plum and licorice aromas show on the nose of this appellation blend from Paso Robles' most exciting Italian variety producer. It's light and easy on the palate, with red plum, cranberry and chaparral herb flavors packed tightly with tannin. It's good now but will improve with age.",13.9%
Red,US,Francis Coppola 2014 Black Label Claret Diamond Collection Cabernet Sauvignon (California),Cabernet Sauvignon,21.0,750 ml,90,Francis Coppola,"This is a big, beefy wine that smells smoky and black-cherry-like and tastes full, bold and firmly tannic. It layers smoky, meaty notes over cranberry and tart cherry flavors, with hints of dark chocolate and cardamom. It is well balanced, muscular in mouthfeel and should improve with time through 2020 at least.",13.5%
Red,US,Fox Run 2012 Meritage (Seneca Lake),Meritage,40.0,750 ml,90,Fox Run,"Fresh primary red cherries and berries are nuanced with complexities of soil, smoke and tobacco in this lovely blend of Cabernet Sauvignon, Merlot and Cabernet Franc. Cutting cranberry acidity and fine persistent tannins lend four-square structure. The finish lingers on subtle touches of smoked nut and cedar.",13.1%
White,US,Bellwether 2014 Sawmill Creek Vineyard Dry Riesling (Finger Lakes),Riesling,22.0,750 ml,89,Bellwether,"Delicate swathes of honey brighten savory chestnut, smoke and mineral tones throughout this feather-light dry Riesling. It's an earthier slightly darker expression of Riesling with electric acidity accenting hints of spice and dusty pollen. The finish is long and intently smoky.",11%
White,US,Leese-Fitch 2015 Sauvignon Blanc (California),Sauvignon Blanc,12.0,750 ml,87,Leese-Fitch,"Not sweet or soft, this assertive dry wine has effusive herb and snap-pea aromas and flavors, bright acidity and medium body. It's a refreshing pour for a hot afternoon or evening.",13.5%
Red,US,Migration 2014 Drum Canyon Pinot Noir (Sta. Rita Hills),Pinot Noir,68.0,750 ml,88,Migration,"Quite reserved in aroma, this bottling from Duckhorn made with fruit from a Dierberg-owned site shows light cranberry and chaparral scents on the nose. The palate is straight-forward with tangy cranberry and cedar flavors.",13.9%
White,US,Palumbo Family Vineyards 2015 Grenache Blanc (Temecula Valley),Grenache Blanc,28.0,750 ml,88,Palumbo Family Vineyards,"Asian and Anjou pear aromas meet with fragrant peach blossom, honeydew and wet stone scents on the nose of this bottling, which shows strong promise for the variety in this region. The palate is richly textured, with light and bright candied red apple and kiwi flavors.",13.2%
Red,US,Hermann J. Wiemer 2015 Cabernet Franc (Seneca Lake),Cabernet Franc,25.0,750 ml,90,Hermann J. Wiemer,"Hermann J. Wiemer's standard-label Cabernet Franc suggests a freshly fruity yet delicate expression of red wine. Brisk black-cherry and berry flavors are sheer and perfumed, flecked by touches of graphite and violet. It's delightfully light bodied, framed in soft feathery tannins and a silky mineral-rich finish.",12.5%
Red,US,Rosenblum 2013 Rockpile Road Vineyard Zinfandel (Rockpile),Zinfandel,40.0,750 ml,88,Rosenblum,"Bright with a touch of smoky leather, this ripe, full-bodied red is lengthy and lush on the palate, seasoned with black pepper, mocha and blackberry preserve.",15.3%
White,US,Robert Mondavi 2014 Chardonnay (Napa Valley),Chardonnay,20.0,750 ml,88,Robert Mondavi,"This is a straightforward, lush and alluringly tart white that offers an oaky backbone of vanilla wrapped in fresh layers of fig, apple and green olive flavor.",14.5%
Red,US,Proximity Twenty Six 2013 Red (Santa Ynez Valley),Bordeaux-style Red Blend,75.0,750 ml,88,Proximity Twenty Six,"There's a very likable umami character to the nose of this wine, its soy and black pepper touches playing well with the lilac and dark fruit aromas. A blend of 43% Cabernet Sauvignon, 33% Petit Verdot, 17% Malbec, 6% Cabernet Franc and 1% Merlot, it offers bright blackberry and black cherry flavors on the palate, which transition to soy and sarsaparilla notes on the finish.",14.7%
White,US,J. Lohr 2015 October Night Chardonnay (Arroyo Seco),Chardonnay,25.0,750 ml,90,J. Lohr,"Rich honeysuckle, marzipan and oak aromas meet bright lemongrass on the nose of this bottling, showing both the fresh and oxidative sides of the grape. Smoked chicken and brioche notes are prominent on the palate, leading to a tangy, botanical, juniper-laced finish.",14.06%
Red,US,Jax 2013 Estate Cabernet Sauvignon (Calistoga),Cabernet Sauvignon,45.0,750 ml,90,Jax,"With 5% Cabernet Franc, this wine is lush, soft and succulentan easygoing, gulpaple expression that will find many fans. Black cherry fruit meets leather and clove notes, compromising between ripe and savory.",14.5%
White,US,Keuka Lake Vineyards 2015 Estate Grown and Bottled Falling Man Vineyard Dry Riesling (Finger Lakes),Riesling,40.0,750 ml,90,Keuka Lake Vineyards,"Whiffs of pine and mint lend a cool green herbal tone to this taut dry Riesling. Spine tingling lime and crushed-mineral notes reverberate on the palate, lending a nervous, electric energy. The finish is pristinely fresh.",11.5%
Red,US,Orsi Family Vineyards 2013 Sangiovese (Dry Creek Valley),Sangiovese,28.0,750 ml,88,Orsi Family Vineyards,"This small-production Tuscan-inspired wine shows sour cherry fruit and a funky note of peat. Low in oak and tannin, it's softly layered and slightly salty, appealing in its Old World style.",13.8%
Red,US,Lamoreaux Landing 2015 T23 Estate Bottled Unoaked Cabernet Franc (Finger Lakes),Cabernet Franc,20.0,750 ml,90,Lamoreaux Landing,"Delicate whiffs of cherry blossom and white pepper perfume this fresh, fruity Cabernet Franc. On the palate, bright raspberry and cherry flavors are unadorned by oak or spice tones, lending a pristine forward sunniness. It's an uncomplicated but irresistibly tasty red.",12.7%
Red,US,Longevity 2013 Cabernet Sauvignon (Livermore Valley),Cabernet Sauvignon,28.0,750 ml,90,Longevity,"Ripe flavors and full body give this wine plenty of impact, its thick layer of fine tannins holding together ripe plum and black cherry fruit. It has good concentration to match its grippy, tannic mouthfeel, so it's a good candidate for further aging. Best from 2020.",14.4%
Red,US,Niner 2014 Sangiovese (Paso Robles),Sangiovese,30.0,750 ml,88,Niner,"This bottling, which blends 15% Barbera, shows smoy cranberry and baked raspberry scents, accented with beef jerky. The smoke persists into the palate, where ripe red fruit meets with salted caramel and vanilla flavors. It's an easy wine to enjoy.",14.1%
White,US,Michael David 2015 Chardonnay (Lodi),Chardonnay,16.0,750 ml,88,Michael David,"This flavorful wine smells citrusy and lightly herbaceous, offering just enough richness on the palate to feel complete. Spicy oak aromas meet crisp apple and lightly butter flavors, making it fun to sip.",13.5%
White,US,McKahn 2015 Chardonnay (Russian River Valley),Chardonnay,29.0,750 ml,88,McKahn,"This is an elegant, pretty, lightly oaked white that's stony and savory with lemongrass, nutmeg and a strong crunch of green apple. Its depth of body and ripeness complement its more exotic elements.",14.5%
White,US,Keuka Lake Vineyards 2015 Estate Grown and Bottled Dry Riesling (Finger Lakes),Riesling,18.0,750 ml,88,Keuka Lake Vineyards,"Slightly muted tones of pressed apple and pear are brightened with lemon acidity in this dry light-footed wine. A hint riper and richer than Keuka Lake Vineyard's other 2015 Rieslings, it's texturally slick, enriched by streaks of honey and nectar. The finish is a bit savory, but brisk.",11.6%
Red,US,Schooler Nolan 2013 Red (Horse Heaven Hills),Red Blend,24.0,750 ml,88,Schooler Nolan,"Petit Verdot makes up 71% of this wine, with the balance Merlot (25%) and Cabernet Sauvignon. It opens with aromas of soil, herb, flowers and purple fruit followed by tart acids and firm tannins. Try it at the dinner table to see it at its best.",14.1%
White,US,Keuka Lake Vineyards 2015 Estate Grown and Bottled Falling Man Vineyard Dry Riesling (Finger Lakes),Riesling,40.0,750 ml,90,Keuka Lake Vineyards,"Whiffs of pine and mint lend a cool green herbal tone to this taut dry Riesling. Spine tingling lime and crushed-mineral notes reverberate on the palate, lending a nervous, electric energy. The finish is pristinely fresh.",11.5%
